"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"EN1","TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","8.128mm","27.031mm","8.128mm","27.031mm","8.128mm","27.031mm","T","-90","TestPoint_2Pole",
"SW2","SW_CuK_OS102011MA1QN1_SPDT_Angled","317.405mm","28.734mm","317.405mm","28.734mm","317.405mm","28.734mm","T","90","SW_SPDT",
"Sw1","sw5.8_5.8","19.9644mm","66.9798mm","19.9644mm","66.9798mm","17.7144mm","64.9798mm","T","90","5.8*5.8",
"BOOT1","TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","22.459mm","10.922mm","22.459mm","10.922mm","22.459mm","10.922mm","T","180","TestPoint_2Pole",
"Bolt1","M3 BOLT","130.556mm","100.203mm","130.556mm","100.203mm","130.556mm","100.203mm","T","90","M3_BOLT",
"Bolt2","M3 BOLT","54.356mm","100.203mm","54.356mm","100.203mm","54.356mm","100.203mm","T","90","M3_BOLT",
"Bolt3","M3 BOLT","2.286mm","96.393mm","2.286mm","96.393mm","2.286mm","96.393mm","T","0","M3_BOLT",
"Bolt4","M3 BOLT","2.286mm","16.383mm","2.286mm","16.383mm","2.286mm","16.383mm","T","0","M3_BOLT",
"Bolt5","M3 BOLT","14.986mm","2.413mm","14.986mm","2.413mm","14.986mm","2.413mm","T","90","M3_BOLT",
"Bolt6","M3 BOLT","84.836mm","2.413mm","84.836mm","2.413mm","84.836mm","2.413mm","T","90","M3_BOLT",
"Bolt7","M3 BOLT","255.016mm","2.413mm","255.016mm","2.413mm","255.016mm","2.413mm","T","90","M3_BOLT",
"Bolt8","M3 BOLT","321.056mm","6.223mm","321.056mm","6.223mm","321.056mm","6.223mm","T","0","M3_BOLT",
"Bolt9","M3 BOLT","321.056mm","67.183mm","321.056mm","67.183mm","321.056mm","67.183mm","T","0","M3_BOLT",
"Bolt10","M3 BOLT","299.466mm","100.203mm","299.466mm","100.203mm","299.466mm","100.203mm","T","-90","M3_BOLT",
"POWER1","TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","18.415mm","90.444mm","18.415mm","90.444mm","18.415mm","90.444mm","T","90","TestPoint_2Pole",
"w**","weldpoint","25.654mm","91.059mm","25.654mm","91.059mm","25.654mm","91.059mm","T","0","weldpoint",
"w**","weldpoint","32.004mm","91.059mm","32.004mm","91.059mm","32.004mm","91.059mm","T","0","weldpoint",
"w**","weldpoint","29.21mm","91.059mm","29.21mm","91.059mm","29.21mm","91.059mm","T","0","weldpoint",
"w**","weldpoint","22.86mm","91.059mm","22.86mm","91.059mm","22.86mm","91.059mm","T","0","weldpoint",
"J1","USB_Micro-B_Wuerth_629105150521_CircularHoles","27.686mm","98.686mm","27.686mm","98.686mm","26.386mm","96.786mm","B","0","USB_B_Mini",
"Sw3","sw5.8_5.8","279.94mm","56.914mm","279.94mm","56.914mm","281.94mm","59.164mm","B","180","5.8*5.8",
